ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92199,4,2024,C,Y,0,0,0
92199,4,2024,I,Y,0,0,0
92199,4,2024,R,Y,0,0,0
92536,4,2024,A,Y,0,0,0
92536,4,2024,C,Y,0,0,0
92536,4,2024,I,Y,0,0,0
92536,4,2024,R,Y,0,0,0
92624,4,2024,A,Y,0,0,0
92624,4,2024,C,Y,0,0,0
92624,4,2024,I,Y,0,0,0
92624,4,2024,R,N,2874,1020896,355
92625,4,2024,A,Y,0,0,0
92629,4,2024,A,Y,0,0,0
92629,4,2024,C,Y,0,0,0
92629,4,2024,I,Y,0,0,0
92629,4,2024,R,N,13126,4547896,346
92649,4,2024,A,Y,0,0,0
92651,4,2024,A,Y,0,0,0
92651,4,2024,C,Y,0,0,0
92651,4,2024,I,Y,0,0,0
92651,4,2024,R,Y,1645,776141,472
92653,4,2024,A,Y,0,0,0
92653,4,2024,C,Y,0,0,0
92653,4,2024,I,Y,0,0,0
92653,4,2024,R,N,5751,1932713,336
92654,4,2024,A,Y,0,0,0
92654,4,2024,C,Y,0,0,0
92654,4,2024,I,Y,0,0,0
92654,4,2024,R,Y,0,0,0
92656,4,2024,A,Y,0,0,0
92656,4,2024,C,Y,0,0,0
92656,4,2024,I,Y,0,0,0
92656,4,2024,R,N,2349,634613,270
92672,4,2024,A,Y,0,0,0
92672,4,2024,C,Y,0,0,0
92672,4,2024,I,Y,0,0,0
92672,4,2024,R,Y,15465,4574392,296
92673,4,2024,A,Y,0,0,0
92673,4,2024,C,N,765,5351477,6995
92673,4,2024,I,Y,0,0,0
92673,4,2024,R,N,10205,2873644,282
92674,4,2024,A,Y,0,0,0
92674,4,2024,C,Y,0,0,0
92674,4,2024,I,Y,0,0,0
92674,4,2024,R,Y,0,0,0
92675,4,2024,A,Y,0,0,0
92675,4,2024,C,Y,1311,7167356,5467
92675,4,2024,I,Y,0,0,0
92675,4,2024,R,Y,11901,4198951,353
92676,4,2024,A,Y,0,0,0
92676,4,2024,C,Y,0,0,0
92676,4,2024,I,Y,0,0,0
92676,4,2024,R,Y,0,0,0
92677,4,2024,A,Y,0,0,0
92677,4,2024,C,Y,1694,11841589,6990
92677,4,2024,I,Y,0,0,0
92677,4,2024,R,Y,22991,6742539,293
92679,4,2024,A,Y,0,0,0
92679,4,2024,C,Y,0,0,0
92679,4,2024,I,Y,0,0,0
92679,4,2024,R,N,3213,969485,302
92688,4,2024,A,Y,0,0,0
92688,4,2024,C,Y,0,0,0
92688,4,2024,I,Y,0,0,0
92688,4,2024,R,N,1978,397685,201
92690,4,2024,A,Y,0,0,0
92690,4,2024,C,Y,0,0,0
92690,4,2024,I,Y,0,0,0
92690,4,2024,R,Y,0,0,0
92691,4,2024,A,Y,0,0,0
92691,4,2024,C,Y,0,0,0
92691,4,2024,I,Y,0,0,0
92691,4,2024,R,Y,3913,1068707,273
92692,4,2024,A,Y,0,0,0
92692,4,2024,C,Y,0,0,0
92692,4,2024,I,Y,0,0,0
92692,4,2024,R,N,6313,1639478,260
92693,4,2024,A,Y,0,0,0
92693,4,2024,C,Y,0,0,0
92693,4,2024,I,Y,0,0,0
92693,4,2024,R,Y,0,0,0
92694,4,2024,A,Y,0,0,0
92694,4,2024,C,Y,0,0,0
92694,4,2024,I,Y,0,0,0
92694,4,2024,R,N,12792,3634712,284
91901,5,2024,A,Y,0,0,0
91901,5,2024,C,Y,0,0,0
91901,5,2024,I,Y,0,0,0
91901,5,2024,R,Y,2554,297250,116
91902,5,2024,A,Y,0,0,0
91902,5,2024,C,Y,0,0,0
91902,5,2024,I,Y,0,0,0
91902,5,2024,R,N,919,196488,214
91905,5,2024,A,Y,0,0,0
91905,5,2024,C,Y,0,0,0
91905,5,2024,I,Y,0,0,0
91905,5,2024,R,Y,0,0,0
91906,5,2024,A,Y,0,0,0
91906,5,2024,C,Y,0,0,0
91906,5,2024,I,Y,0,0,0
91906,5,2024,R,Y,547,-20877,-38
91910,5,2024,A,Y,0,0,0
91910,5,2024,C,Y,480,5874851,12239
91910,5,2024,I,Y,0,0,0
91910,5,2024,R,Y,6394,1310786,205
91911,5,2024,A,Y,0,0,0
91911,5,2024,C,Y,642,5660628,8817
91911,5,2024,I,Y,0,0,0
91911,5,2024,R,Y,5352,1166959,218
91912,5,2024,A,Y,0,0,0
91912,5,2024,C,Y,0,0,0
91912,5,2024,I,Y,0,0,0
91912,5,2024,R,Y,0,0,0
91913,5,2024,A,Y,0,0,0
91913,5,2024,C,Y,0,0,0
91913,5,2024,I,Y,0,0,0
91913,5,2024,R,N,5490,1186866,216
91914,5,2024,A,Y,0,0,0
91914,5,2024,C,Y,0,0,0
91914,5,2024,I,Y,0,0,0
91914,5,2024,R,N,755,77115,102
91915,5,2024,A,Y,0,0,0
91915,5,2024,C,Y,0,0,0
91915,5,2024,I,Y,0,0,0
91915,5,2024,R,N,3347,787846,235
91916,5,2024,A,Y,0,0,0
91916,5,2024,C,Y,0,0,0
91916,5,2024,I,Y,0,0,0
91916,5,2024,R,Y,0,0,0
91917,5,2024,A,Y,0,0,0
91917,5,2024,C,Y,0,0,0
91917,5,2024,I,Y,0,0,0
91917,5,2024,R,Y,0,0,0
91931,5,2024,A,Y,0,0,0
91931,5,2024,C,Y,0,0,0
91931,5,2024,I,Y,0,0,0
91931,5,2024,R,Y,0,0,0
91932,5,2024,A,Y,0,0,0
91932,5,2024,C,Y,0,0,0
91932,5,2024,I,Y,0,0,0
91932,5,2024,R,N,3429,661047,193
91934,5,2024,A,Y,0,0,0
91934,5,2024,C,Y,0,0,0
91934,5,2024,I,Y,0,0,0
91934,5,2024,R,Y,0,0,0
91935,5,2024,A,Y,0,0,0
91935,5,2024,C,Y,0,0,0
91935,5,2024,I,Y,0,0,0
91935,5,2024,R,N,597,14894,25
91941,5,2024,A,Y,0,0,0
91941,5,2024,C,Y,0,0,0
91941,5,2024,I,Y,0,0,0
91941,5,2024,R,N,3070,434618,142
91942,5,2024,A,Y,0,0,0
91942,5,2024,C,N,494,4806894,9731
91942,5,2024,I,Y,0,0,0
91942,5,2024,R,N,5896,1261698,214
91945,5,2024,A,Y,0,0,0
91945,5,2024,C,N,590,2788623,4726
91945,5,2024,I,Y,0,0,0
91945,5,2024,R,N,9114,1669601,183
91948,5,2024,A,Y,0,0,0
91948,5,2024,C,Y,0,0,0
91948,5,2024,I,Y,0,0,0
